"ccode.year","country","country.series","unit","series","ccode","year","value","country.year","population"
"CIV.2006","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","exports","CIV","2006",1.065,"Cote d'Ivoire.2006",18699435
"CIV.2006","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","net imports","CIV","2006",-1.065,"Cote d'Ivoire.2006",18699435
"CIV.2006","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Million Kw","capacity","CIV","2006",1.207,"Cote d'Ivoire.2006",18699435
"CIV.2007","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","generation","CIV","2007",5.39006,"Cote d'Ivoire.2007",19085941
"CIV.2007","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","imports","CIV","2007",0,"Cote d'Ivoire.2007",19085941
"CIV.2007","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","net imports","CIV","2007",-0.772,"Cote d'Ivoire.2007",19085941
"CIV.2007","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","consumption","CIV","2007",3.34606,"Cote d'Ivoire.2007",19085941
"CIV.2007","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","exports","CIV","2007",0.772,"Cote d'Ivoire.2007",19085941
"CIV.2007","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Million Kw","capacity","CIV","2007",1.218,"Cote d'Ivoire.2007",19085941
"CIV.2007","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","distribution losses","CIV","2007",1.272,"Cote d'Ivoire.2007",19085941
"CIV.2008","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","distribution losses","CIV","2008",1.365,"Cote d'Ivoire.2008",19497986
"CIV.2008","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Million Kw","capacity","CIV","2008",1.224,"Cote d'Ivoire.2008",19497986
"CIV.2008","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","imports","CIV","2008",0,"Cote d'Ivoire.2008",19497986
"CIV.2008","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","net imports","CIV","2008",-0.599,"Cote d'Ivoire.2008",19497986
"CIV.2008","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","generation","CIV","2008",5.55416,"Cote d'Ivoire.2008",19497986
"CIV.2008","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","exports","CIV","2008",0.599,"Cote d'Ivoire.2008",19497986
"CIV.2008","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","consumption","CIV","2008",3.59016,"Cote d'Ivoire.2008",19497986
"CIV.2009","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","net imports","CIV","2009",-0.484,"Cote d'Ivoire.2009",19936366
"CIV.2009","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","generation","CIV","2009",5.6305,"Cote d'Ivoire.2009",19936366
"CIV.2009","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Million Kw","capacity","CIV","2009",1.247,"Cote d'Ivoire.2009",19936366
"CIV.2009","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","distribution losses","CIV","2009",1.365,"Cote d'Ivoire.2009",19936366
"CIV.2009","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","exports","CIV","2009",0.484,"Cote d'Ivoire.2009",19936366
"CIV.2009","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","imports","CIV","2009",0,"Cote d'Ivoire.2009",19936366
"CIV.2009","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","consumption","CIV","2009",3.7815,"Cote d'Ivoire.2009",19936366
"CIV.2010","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","distribution losses","CIV","2010",1.204,"Cote d'Ivoire.2010",20401331
"CIV.2010","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","consumption","CIV","2010",4.14432,"Cote d'Ivoire.2010",20401331
"CIV.2010","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","net imports","CIV","2010",-0.346,"Cote d'Ivoire.2010",20401331
"CIV.2010","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","imports","CIV","2010",0.145,"Cote d'Ivoire.2010",20401331
"CIV.2010","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Million Kw","capacity","CIV","2010",1.276,"Cote d'Ivoire.2010",20401331
"CIV.2010","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","generation","CIV","2010",5.69432,"Cote d'Ivoire.2010",20401331
"CIV.2010","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","exports","CIV","2010",0.491,"Cote d'Ivoire.2010",20401331
"CIV.2011","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","distribution losses","CIV","2011",1.365,"Cote d'Ivoire.2011",20895311
"CIV.2011","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Million Kw","capacity","CIV","2011",1.449,"Cote d'Ivoire.2011",20895311
"CIV.2011","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","exports","CIV","2011",0.615,"Cote d'Ivoire.2011",20895311
"CIV.2011","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","net imports","CIV","2011",-0.593,"Cote d'Ivoire.2011",20895311
"CIV.2011","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","generation","CIV","2011",5.82734,"Cote d'Ivoire.2011",20895311
"CIV.2011","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","imports","CIV","2011",0.022,"Cote d'Ivoire.2011",20895311
"CIV.2011","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","consumption","CIV","2011",3.86934,"Cote d'Ivoire.2011",20895311
"CIV.2012","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","net imports","CIV","2012",-0.591,"Cote d'Ivoire.2012",21418603
"CIV.2012","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","imports","CIV","2012",0.054,"Cote d'Ivoire.2012",21418603
"CIV.2012","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","consumption","CIV","2012",4.73334,"Cote d'Ivoire.2012",21418603
"CIV.2012","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","generation","CIV","2012",6.69034,"Cote d'Ivoire.2012",21418603
"CIV.2012","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Million Kw","capacity","CIV","2012",1.646,"Cote d'Ivoire.2012",21418603
"CIV.2012","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","exports","CIV","2012",0.645,"Cote d'Ivoire.2012",21418603
"CIV.2012","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","distribution losses","CIV","2012",1.366,"Cote d'Ivoire.2012",21418603
"CIV.2013","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","generation","CIV","2013",7.27744,"Cote d'Ivoire.2013",21966312
"CIV.2013","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","consumption","CIV","2013",4.77744,"Cote d'Ivoire.2013",21966312
"CIV.2013","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","imports","CIV","2013",0,"Cote d'Ivoire.2013",21966312
"CIV.2013","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","net imports","CIV","2013",-0.82,"Cote d'Ivoire.2013",21966312
"CIV.2013","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","exports","CIV","2013",0.82,"Cote d'Ivoire.2013",21966312
"CIV.2013","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Million Kw","capacity","CIV","2013",1.757,"Cote d'Ivoire.2013",21966312
"CIV.2013","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","distribution losses","CIV","2013",1.68,"Cote d'Ivoire.2013",21966312
"CIV.2014","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","net imports","CIV","2014",-0.877,"Cote d'Ivoire.2014",22531350
"CIV.2014","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","generation","CIV","2014",7.89182,"Cote d'Ivoire.2014",22531350
"CIV.2014","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","imports","CIV","2014",0,"Cote d'Ivoire.2014",22531350
"CIV.2014","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","exports","CIV","2014",0.877,"Cote d'Ivoire.2014",22531350
"CIV.2014","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","distribution losses","CIV","2014",1.187,"Cote d'Ivoire.2014",22531350
"CIV.2014","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Million Kw","capacity","CIV","2014",1.828,"Cote d'Ivoire.2014",22531350
"CIV.2014","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","consumption","CIV","2014",5.82782,"Cote d'Ivoire.2014",22531350
"CIV.2015","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","imports","CIV","2015",0.023,"Cote d'Ivoire.2015",23108472
"CIV.2015","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","generation","CIV","2015",8.26576,"Cote d'Ivoire.2015",23108472
"CIV.2015","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","consumption","CIV","2015",5.67276,"Cote d'Ivoire.2015",23108472
"CIV.2015","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","distribution losses","CIV","2015",1.744,"Cote d'Ivoire.2015",23108472
"CIV.2015","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","exports","CIV","2015",0.872,"Cote d'Ivoire.2015",23108472
"CIV.2015","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Million Kw","capacity","CIV","2015",1.914,"Cote d'Ivoire.2015",23108472
"CIV.2015","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","net imports","CIV","2015",-0.849,"Cote d'Ivoire.2015",23108472
"CIV.2016","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","generation","CIV","2016",9.72994,"Cote d'Ivoire.2016",NA
"CIV.2016","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","distribution losses","CIV","2016",1.627,"Cote d'Ivoire.2016",NA
"CIV.2016","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","net imports","CIV","2016",-1.858,"Cote d'Ivoire.2016",NA
"CIV.2016","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","imports","CIV","2016",0.019,"Cote d'Ivoire.2016",NA
"CIV.2016","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","consumption","CIV","2016",6.24494,"Cote d'Ivoire.2016",NA
"CIV.2016","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Million Kw","capacity","CIV","2016",1.914,"Cote d'Ivoire.2016",NA
"CIV.2016","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","exports","CIV","2016",1.877,"Cote d'Ivoire.2016",NA
"CIV.2017","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","generation","CIV","2017",NA,"Cote d'Ivoire.2017",NA
"CIV.2017","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","distribution losses","CIV","2017",NA,"Cote d'Ivoire.2017",NA
"CIV.2017","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","net imports","CIV","2017",NA,"Cote d'Ivoire.2017",NA
"CIV.2017","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","imports","CIV","2017",NA,"Cote d'Ivoire.2017",NA
"CIV.2017","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","consumption","CIV","2017",NA,"Cote d'Ivoire.2017",NA
"CIV.2017","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Million Kw","capacity","CIV","2017",NA,"Cote d'Ivoire.2017",NA
"CIV.2017","Cote d'Ivoire","Cote dIvoire (IvoryCoast)","Billion Kwh","exports","CIV","2017",NA,"Cote d'Ivoire.2017",NA
"CMR.1980","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1980",0,"Cameroon.1980",NA
"CMR.1980","Cameroon","Cameroon","Billion Kwh","generation","CMR","1980",1.432,"Cameroon.1980",NA
"CMR.1980","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1980",0.107,"Cameroon.1980",NA
"CMR.1980","Cameroon","Cameroon","Million Kw","capacity","CMR","1980",0.423,"Cameroon.1980",NA
"CMR.1980","Cameroon","Cameroon","Billion Kwh","exports","CMR","1980",0,"Cameroon.1980",NA
"CMR.1980","Cameroon","Cameroon","Billion Kwh","imports","CMR","1980",0,"Cameroon.1980",NA
"CMR.1980","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1980",1.325,"Cameroon.1980",NA
"CMR.1981","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1981",0,"Cameroon.1981",NA
"CMR.1981","Cameroon","Cameroon","Billion Kwh","generation","CMR","1981",1.883,"Cameroon.1981",NA
"CMR.1981","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1981",0.146,"Cameroon.1981",NA
"CMR.1981","Cameroon","Cameroon","Million Kw","capacity","CMR","1981",0.553,"Cameroon.1981",NA
"CMR.1981","Cameroon","Cameroon","Billion Kwh","exports","CMR","1981",0,"Cameroon.1981",NA
"CMR.1981","Cameroon","Cameroon","Billion Kwh","imports","CMR","1981",0,"Cameroon.1981",NA
"CMR.1981","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1981",1.737,"Cameroon.1981",NA
"CMR.1982","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1982",0,"Cameroon.1982",NA
"CMR.1982","Cameroon","Cameroon","Billion Kwh","generation","CMR","1982",2.13,"Cameroon.1982",NA
"CMR.1982","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1982",0.121,"Cameroon.1982",NA
"CMR.1982","Cameroon","Cameroon","Million Kw","capacity","CMR","1982",0.592,"Cameroon.1982",NA
"CMR.1982","Cameroon","Cameroon","Billion Kwh","exports","CMR","1982",0,"Cameroon.1982",NA
"CMR.1982","Cameroon","Cameroon","Billion Kwh","imports","CMR","1982",0,"Cameroon.1982",NA
"CMR.1982","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1982",2.009,"Cameroon.1982",NA
"CMR.1983","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1983",0,"Cameroon.1983",NA
"CMR.1983","Cameroon","Cameroon","Billion Kwh","generation","CMR","1983",2.096,"Cameroon.1983",NA
"CMR.1983","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1983",0.144,"Cameroon.1983",NA
"CMR.1983","Cameroon","Cameroon","Million Kw","capacity","CMR","1983",0.592,"Cameroon.1983",NA
"CMR.1983","Cameroon","Cameroon","Billion Kwh","exports","CMR","1983",0,"Cameroon.1983",NA
"CMR.1983","Cameroon","Cameroon","Billion Kwh","imports","CMR","1983",0,"Cameroon.1983",NA
"CMR.1983","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1983",1.952,"Cameroon.1983",NA
"CMR.1984","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1984",0,"Cameroon.1984",NA
"CMR.1984","Cameroon","Cameroon","Billion Kwh","generation","CMR","1984",2.191,"Cameroon.1984",NA
"CMR.1984","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1984",0.219,"Cameroon.1984",NA
"CMR.1984","Cameroon","Cameroon","Million Kw","capacity","CMR","1984",0.623,"Cameroon.1984",NA
"CMR.1984","Cameroon","Cameroon","Billion Kwh","exports","CMR","1984",0,"Cameroon.1984",NA
"CMR.1984","Cameroon","Cameroon","Billion Kwh","imports","CMR","1984",0,"Cameroon.1984",NA
"CMR.1984","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1984",1.972,"Cameroon.1984",NA
"CMR.1985","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1985",0,"Cameroon.1985",NA
"CMR.1985","Cameroon","Cameroon","Billion Kwh","generation","CMR","1985",2.381,"Cameroon.1985",NA
"CMR.1985","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1985",0.188,"Cameroon.1985",NA
"CMR.1985","Cameroon","Cameroon","Million Kw","capacity","CMR","1985",0.625,"Cameroon.1985",NA
"CMR.1985","Cameroon","Cameroon","Billion Kwh","exports","CMR","1985",0,"Cameroon.1985",NA
"CMR.1985","Cameroon","Cameroon","Billion Kwh","imports","CMR","1985",0,"Cameroon.1985",NA
"CMR.1985","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1985",2.193,"Cameroon.1985",NA
"CMR.1986","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1986",0,"Cameroon.1986",NA
"CMR.1986","Cameroon","Cameroon","Billion Kwh","generation","CMR","1986",2.355,"Cameroon.1986",NA
"CMR.1986","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1986",0.311,"Cameroon.1986",NA
"CMR.1986","Cameroon","Cameroon","Million Kw","capacity","CMR","1986",0.625,"Cameroon.1986",NA
"CMR.1986","Cameroon","Cameroon","Billion Kwh","exports","CMR","1986",0,"Cameroon.1986",NA
"CMR.1986","Cameroon","Cameroon","Billion Kwh","imports","CMR","1986",0,"Cameroon.1986",NA
"CMR.1986","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1986",2.044,"Cameroon.1986",NA
"CMR.1987","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1987",0,"Cameroon.1987",NA
"CMR.1987","Cameroon","Cameroon","Billion Kwh","generation","CMR","1987",2.362,"Cameroon.1987",NA
"CMR.1987","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1987",0.28,"Cameroon.1987",NA
"CMR.1987","Cameroon","Cameroon","Million Kw","capacity","CMR","1987",0.625,"Cameroon.1987",NA
"CMR.1987","Cameroon","Cameroon","Billion Kwh","exports","CMR","1987",0,"Cameroon.1987",NA
"CMR.1987","Cameroon","Cameroon","Billion Kwh","imports","CMR","1987",0,"Cameroon.1987",NA
"CMR.1987","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1987",2.082,"Cameroon.1987",NA
"CMR.1988","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1988",0,"Cameroon.1988",NA
"CMR.1988","Cameroon","Cameroon","Billion Kwh","generation","CMR","1988",2.553,"Cameroon.1988",NA
"CMR.1988","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1988",0.3,"Cameroon.1988",NA
"CMR.1988","Cameroon","Cameroon","Million Kw","capacity","CMR","1988",0.625,"Cameroon.1988",NA
"CMR.1988","Cameroon","Cameroon","Billion Kwh","exports","CMR","1988",0,"Cameroon.1988",NA
"CMR.1988","Cameroon","Cameroon","Billion Kwh","imports","CMR","1988",0,"Cameroon.1988",NA
"CMR.1988","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1988",2.253,"Cameroon.1988",NA
"CMR.1989","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1989",0,"Cameroon.1989",NA
"CMR.1989","Cameroon","Cameroon","Billion Kwh","generation","CMR","1989",2.668,"Cameroon.1989",NA
"CMR.1989","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1989",0.304,"Cameroon.1989",NA
"CMR.1989","Cameroon","Cameroon","Million Kw","capacity","CMR","1989",0.627,"Cameroon.1989",NA
"CMR.1989","Cameroon","Cameroon","Billion Kwh","exports","CMR","1989",0,"Cameroon.1989",NA
"CMR.1989","Cameroon","Cameroon","Billion Kwh","imports","CMR","1989",0,"Cameroon.1989",NA
"CMR.1989","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1989",2.364,"Cameroon.1989",NA
"CMR.1990","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1990",0,"Cameroon.1990",11715218
"CMR.1990","Cameroon","Cameroon","Billion Kwh","exports","CMR","1990",0,"Cameroon.1990",11715218
"CMR.1990","Cameroon","Cameroon","Million Kw","capacity","CMR","1990",0.627,"Cameroon.1990",11715218
"CMR.1990","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1990",0.352,"Cameroon.1990",11715218
"CMR.1990","Cameroon","Cameroon","Billion Kwh","imports","CMR","1990",0,"Cameroon.1990",11715218
"CMR.1990","Cameroon","Cameroon","Billion Kwh","generation","CMR","1990",2.675,"Cameroon.1990",11715218
"CMR.1990","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1990",2.323,"Cameroon.1990",11715218
"CMR.1991","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1991",0,"Cameroon.1991",NA
"CMR.1991","Cameroon","Cameroon","Billion Kwh","generation","CMR","1991",2.71,"Cameroon.1991",NA
"CMR.1991","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1991",0.376,"Cameroon.1991",NA
"CMR.1991","Cameroon","Cameroon","Million Kw","capacity","CMR","1991",0.627,"Cameroon.1991",NA
"CMR.1991","Cameroon","Cameroon","Billion Kwh","exports","CMR","1991",0,"Cameroon.1991",NA
"CMR.1991","Cameroon","Cameroon","Billion Kwh","imports","CMR","1991",0,"Cameroon.1991",NA
"CMR.1991","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1991",2.334,"Cameroon.1991",NA
"CMR.1992","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1992",0,"Cameroon.1992",NA
"CMR.1992","Cameroon","Cameroon","Billion Kwh","generation","CMR","1992",2.695,"Cameroon.1992",NA
"CMR.1992","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1992",0.377,"Cameroon.1992",NA
"CMR.1992","Cameroon","Cameroon","Million Kw","capacity","CMR","1992",0.627,"Cameroon.1992",NA
"CMR.1992","Cameroon","Cameroon","Billion Kwh","exports","CMR","1992",0,"Cameroon.1992",NA
"CMR.1992","Cameroon","Cameroon","Billion Kwh","imports","CMR","1992",0,"Cameroon.1992",NA
"CMR.1992","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1992",2.318,"Cameroon.1992",NA
"CMR.1993","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1993",0,"Cameroon.1993",NA
"CMR.1993","Cameroon","Cameroon","Billion Kwh","generation","CMR","1993",2.699,"Cameroon.1993",NA
"CMR.1993","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1993",0.375,"Cameroon.1993",NA
"CMR.1993","Cameroon","Cameroon","Million Kw","capacity","CMR","1993",0.627,"Cameroon.1993",NA
"CMR.1993","Cameroon","Cameroon","Billion Kwh","exports","CMR","1993",0,"Cameroon.1993",NA
"CMR.1993","Cameroon","Cameroon","Billion Kwh","imports","CMR","1993",0,"Cameroon.1993",NA
"CMR.1993","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1993",2.324,"Cameroon.1993",NA
"CMR.1994","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1994",0,"Cameroon.1994",NA
"CMR.1994","Cameroon","Cameroon","Billion Kwh","generation","CMR","1994",2.738,"Cameroon.1994",NA
"CMR.1994","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1994",0.507,"Cameroon.1994",NA
"CMR.1994","Cameroon","Cameroon","Million Kw","capacity","CMR","1994",0.627,"Cameroon.1994",NA
"CMR.1994","Cameroon","Cameroon","Billion Kwh","exports","CMR","1994",0,"Cameroon.1994",NA
"CMR.1994","Cameroon","Cameroon","Billion Kwh","imports","CMR","1994",0,"Cameroon.1994",NA
"CMR.1994","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1994",2.231,"Cameroon.1994",NA
"CMR.1995","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1995",2.203,"Cameroon.1995",13460994
"CMR.1995","Cameroon","Cameroon","Billion Kwh","generation","CMR","1995",2.811,"Cameroon.1995",13460994
"CMR.1995","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1995",0,"Cameroon.1995",13460994
"CMR.1995","Cameroon","Cameroon","Million Kw","capacity","CMR","1995",0.82,"Cameroon.1995",13460994
"CMR.1995","Cameroon","Cameroon","Billion Kwh","imports","CMR","1995",0,"Cameroon.1995",13460994
"CMR.1995","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1995",0.608,"Cameroon.1995",13460994
"CMR.1995","Cameroon","Cameroon","Billion Kwh","exports","CMR","1995",0,"Cameroon.1995",13460994
"CMR.1996","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1996",0,"Cameroon.1996",NA
"CMR.1996","Cameroon","Cameroon","Billion Kwh","generation","CMR","1996",2.928,"Cameroon.1996",NA
"CMR.1996","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1996",0.587,"Cameroon.1996",NA
"CMR.1996","Cameroon","Cameroon","Million Kw","capacity","CMR","1996",0.82,"Cameroon.1996",NA
"CMR.1996","Cameroon","Cameroon","Billion Kwh","exports","CMR","1996",0,"Cameroon.1996",NA
"CMR.1996","Cameroon","Cameroon","Billion Kwh","imports","CMR","1996",0,"Cameroon.1996",NA
"CMR.1996","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1996",2.341,"Cameroon.1996",NA
"CMR.1997","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1997",0,"Cameroon.1997",NA
"CMR.1997","Cameroon","Cameroon","Billion Kwh","generation","CMR","1997",3.095,"Cameroon.1997",NA
"CMR.1997","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1997",0.612,"Cameroon.1997",NA
"CMR.1997","Cameroon","Cameroon","Million Kw","capacity","CMR","1997",0.817,"Cameroon.1997",NA
"CMR.1997","Cameroon","Cameroon","Billion Kwh","exports","CMR","1997",0,"Cameroon.1997",NA
"CMR.1997","Cameroon","Cameroon","Billion Kwh","imports","CMR","1997",0,"Cameroon.1997",NA
"CMR.1997","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1997",2.483,"Cameroon.1997",NA
"CMR.1998","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1998",0,"Cameroon.1998",NA
"CMR.1998","Cameroon","Cameroon","Billion Kwh","generation","CMR","1998",3.134,"Cameroon.1998",NA
"CMR.1998","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1998",0.629,"Cameroon.1998",NA
"CMR.1998","Cameroon","Cameroon","Million Kw","capacity","CMR","1998",0.817,"Cameroon.1998",NA
"CMR.1998","Cameroon","Cameroon","Billion Kwh","exports","CMR","1998",0,"Cameroon.1998",NA
"CMR.1998","Cameroon","Cameroon","Billion Kwh","imports","CMR","1998",0,"Cameroon.1998",NA
"CMR.1998","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1998",2.505,"Cameroon.1998",NA
"CMR.1999","Cameroon","Cameroon","Billion Kwh","net imports","CMR","1999",0,"Cameroon.1999",NA
"CMR.1999","Cameroon","Cameroon","Billion Kwh","generation","CMR","1999",3.34,"Cameroon.1999",NA
"CMR.1999","Cameroon","Cameroon","Billion Kwh","distribution losses","CMR","1999",0.695,"Cameroon.1999",NA
"CMR.1999","Cameroon","Cameroon","Million Kw","capacity","CMR","1999",0.819,"Cameroon.1999",NA
"CMR.1999","Cameroon","Cameroon","Billion Kwh","exports","CMR","1999",0,"Cameroon.1999",NA
"CMR.1999","Cameroon","Cameroon","Billion Kwh","imports","CMR","1999",0,"Cameroon.1999",NA
"CMR.1999","Cameroon","Cameroon","Billion Kwh","consumption","CMR","1999",2.645,"Cameroon.1999",NA
